Primary_Key,URL
10140,http://bit.ly/2dd2pGF
10141,"http://bit.ly/2dgBJCZ, http://bit.ly/2dAJxkF"
10142,http://bit.ly/2doy9KN
10143,http://bit.ly/2drYAcr
10144,http://bit.ly/2dwexQ1
10145,http://bit.ly/2e81ycf
10146,http://bit.ly/2eAfVEw
10147,http://bit.ly/2eFrd9N
10148,http://bit.ly/2eTRPkZ
10149,http://bit.ly/2eYFwcy
10150,http://bit.ly/2efIFn5
10151,http://bit.ly/2evKvuV
10152,http://bit.ly/2evXFYI
10153,http://bit.ly/2fM36V2
10154,http://bit.ly/2fT0Hvz
10155,http://bit.ly/2fbpdWc
10156,http://bit.ly/2fd2dG8
10157,http://bit.ly/2fkLYan
10158,http://bit.ly/2fm566L
10159,http://bit.ly/2fobUQ3
10160,http://bit.ly/2g7JRe3
10161,http://bit.ly/2gDN5Ub
10162,http://bit.ly/2h0AVai
10163,http://bit.ly/2h1YRrz
10164,http://bit.ly/2h2Fawv
10165,http://bit.ly/2hCyd7D
10166,http://bit.ly/2hUABVj
10167,http://bit.ly/2hWRiAv
10168,"http://bit.ly/2iUG8OU, http://bit.ly/2l1uhCP, http://bit.ly/2ABOp5C"
10169,"http://bit.ly/2iX18UM, http://bit.ly/2zKRexc"
10170,"http://bit.ly/2ieDFMw, http://bit.ly/2hqAlOl, http://bit.ly/2hSJCQE"
10171,http://bit.ly/2ifg4wE
10172,http://bit.ly/2j0qhRg
10173,http://bit.ly/2j2l61p
10174,http://bit.ly/2j2raXJ
10175,"http://bit.ly/2jBYaU0, http://eluni.mx/2kQgARG, http://bit.ly/2kvGqgS"
10176,http://bit.ly/2jCHq2f
10177,http://bit.ly/2jFdekL
10178,http://bit.ly/2jHIQsX
10179,http://bit.ly/2jQv6bX
10180,"http://bit.ly/2jTe6lQ, http://bit.ly/2koItA9, http://bit.ly/2jiEofO"
10181,"http://bit.ly/2jVrbQa, http://bit.ly/2zknI0z"
10182,"http://bit.ly/2jYRAHV, http://bit.ly/2jKkZoz"
10183,http://bit.ly/2jYo0FR
10184,http://bit.ly/2jdNKus
10185,http://bit.ly/2jomRE8
10186,"http://bit.ly/2jwRgmI, http://bit.ly/2jQwDls"
10187,"http://bit.ly/2jwVvvB, https://goo.gl/n024Qm"
10188,http://bit.ly/2jz49Pk
10189,"http://bit.ly/2jzJYzz, http://bit.ly/2k2KjcG"
10190,"http://bit.ly/2jzJYzz, http://bit.ly/2kREYWY, http://bit.ly/2k6tgrJ"
