Primary_Key,Port_Code,Date,Measure_Code,Value
1000148,2404,2019-03-01,15,38089
1000149,2507,2019-03-01,14,498664
1000150,2602,2019-03-01,21,16
1000151,2601,2019-03-01,13,75746
1000152,2304,2019-03-01,22,205913
1000153,2602,2019-03-01,12,54
1000154,2602,2019-03-01,11,292
1000155,2608,2019-03-01,13,238073
1000156,2303,2019-03-01,14,538989
1000157,2402,2019-03-01,19,118
1000158,2305,2019-03-01,12,1835
1000159,2403,2019-03-01,11,171
1000160,2303,2019-03-01,22,15352
1000161,2404,2019-03-01,13,3285
1000162,2301,2019-03-01,13,256192
1000163,2604,2019-03-01,15,280675
1000164,2403,2019-03-01,15,62810
1000165,2403,2019-03-01,20,140
1000166,2305,2019-03-01,13,177617
1000167,2304,2019-03-01,16,15333
1000168,2507,2019-03-01,20,14494
1000169,2301,2019-03-01,16,7071
1000170,2310,2019-03-01,12,38
1000171,2406,2019-03-01,11,1236
1000172,2505,2019-03-01,21,2744
1000173,2403,2019-03-01,13,20125
1000174,2307,2019-03-01,21,2951
1000175,2408,2019-03-01,13,10132
1000176,2304,2019-03-01,15,445919
1000177,2505,2019-03-01,22,4608
1000178,2302,2019-03-01,22,6706
1000179,2309,2019-03-01,15,116842
1000180,2402,2019-03-01,20,17378
1000181,2301,2019-03-01,11,3900
1000182,2305,2019-03-01,22,58226
1000183,2403,2019-03-01,12,105
1000184,2406,2019-03-01,13,21961
1000185,2507,2019-03-01,17,20
1000186,2408,2019-03-01,20,1284
1000187,2402,2019-03-01,21,51731
1000188,2403,2019-03-01,22,791
1000189,2604,2019-03-01,18,256
1000190,2505,2019-03-01,14,182168
1000191,2303,2019-03-01,20,2516
1000192,2604,2019-03-01,14,545915
1000193,2403,2019-03-01,21,651
1000194,2507,2019-03-01,11,4200
1000195,2603,2019-02-01,20,121
1000196,2406,2019-02-01,14,54764
1000197,2406,2019-02-01,13,20918
1000198,2309,2019-02-01,20,1929
1000199,2402,2019-02-01,22,65977
1000200,2502,2019-02-01,14,86294
1000201,2403,2019-02-01,14,106569
1000202,2601,2019-02-01,15,125735
1000203,2506,2019-02-01,11,1690
1000204,2309,2019-02-01,21,2819
1000205,2604,2019-02-01,14,491112
1000206,2608,2019-02-01,20,723
1000207,2402,2019-02-01,19,122
1000208,2504,2019-02-01,14,1731228
1000209,2408,2019-02-01,20,1320
1000210,2307,2019-02-01,21,2655
1000211,2305,2019-02-01,13,156891
1000212,2408,2019-02-01,14,86086
1000213,2406,2019-02-01,11,912
1000214,2303,2019-02-01,11,3705
1000215,2310,2019-02-01,14,114028
1000216,2309,2019-02-01,14,231180
1000217,2305,2019-02-01,20,14410
1000218,2505,2019-02-01,15,79324
1000219,2503,2019-02-01,14,682264
1000220,2504,2019-02-01,15,1039184
1000221,2602,2019-02-01,14,54461
1000222,2301,2019-02-01,14,705241
1000223,2603,2019-02-01,21,96
1000224,2408,2019-02-01,11,129
1000225,2301,2019-02-01,11,3039
1000226,2602,2019-02-01,20,3
1000227,2402,2019-02-01,13,382224
1000228,2404,2019-02-01,13,3427
1000229,2505,2019-02-01,22,4413
1000230,2506,2019-02-01,19,34
1000231,2604,2019-02-01,11,12344
1000232,2303,2019-02-01,13,53816
1000233,2506,2019-02-01,21,54599
1000234,2506,2019-02-01,18,24
1000235,2603,2019-02-01,15,23797
1000236,2408,2019-02-01,22,9117
1000237,2301,2019-02-01,20,10172
1000238,2505,2019-02-01,14,151542
1000239,2604,2019-02-01,15,256783
1000240,2604,2019-02-01,16,3523
1000241,2403,2019-02-01,21,581
1000242,2603,2019-02-01,22,217
1000243,2502,2019-02-01,15,44419
1000244,2604,2019-02-01,19,64
1000245,2304,2019-02-01,19,355
1000246,2506,2019-02-01,15,501621
1000247,2408,2019-02-01,15,42335
1000248,2305,2019-02-01,22,53892
1000249,2304,2019-02-01,20,50401
1000250,2602,2019-02-01,21,22
1000251,2507,2019-02-01,18,19
1000252,2604,2019-02-01,22,30784
1000253,2507,2019-02-01,19,18
1000254,2304,2019-02-01,13,266039
1000255,2608,2019-02-01,11,17
1000256,2302,2019-02-01,14,232305
1000257,2301,2019-02-01,15,344903
1000258,2408,2019-02-01,21,7874
1000259,2504,2019-02-01,12,2952
1000260,2503,2019-02-01,15,374126
1000261,2503,2019-02-01,13,291959
1000262,2310,2019-02-01,15,60385
1000263,2305,2019-02-01,12,1605
1000264,2608,2019-02-01,22,3962
1000265,2604,2019-02-01,21,26492
1000266,2302,2019-02-01,13,27429
1000267,2608,2019-02-01,13,230088
1000268,2403,2019-02-01,15,53410
1000269,2506,2019-02-01,14,847972
1000270,2303,2019-02-01,22,14246
1000271,2304,2019-02-01,22,187418
1000272,2410,2019-02-01,13,2385
1000273,2303,2019-02-01,16,13679
1000274,2304,2019-02-01,12,2837
1000275,2402,2019-02-01,15,928499
1000276,2302,2019-02-01,22,6349
1000277,2404,2019-02-01,14,61031
1000278,2403,2019-02-01,20,126
1000279,2301,2019-02-01,12,505
1000280,2602,2019-02-01,13,3012
1000281,2507,2019-02-01,17,48
1000282,2307,2019-02-01,15,35946
1000283,2507,2019-02-01,15,242818
1000284,2602,2019-02-01,11,206
1000285,2507,2019-02-01,20,14171
1000286,2301,2019-02-01,16,7452
1000287,2309,2019-02-01,13,112896
1000288,2310,2019-02-01,21,207
1000289,2302,2019-02-01,21,4964
1000290,2402,2019-02-01,20,16757
1000291,2303,2019-02-01,17,9867
1000292,2507,2019-02-01,22,31771
1000293,2608,2019-02-01,21,3261
1000294,2305,2019-02-01,21,39636
1000295,2601,2019-02-01,20,517
1000296,2506,2019-02-01,12,878
1000297,2507,2019-02-01,16,523
1000298,2507,2019-02-01,21,17831
1000299,2606,2019-02-01,14,3241
1000300,2505,2019-02-01,21,2579
1000301,2310,2019-02-01,11,563
1000302,2507,2019-02-01,14,415148
1000303,2406,2019-02-01,15,25428
1000304,2507,2019-02-01,12,137
1000305,2582,2019-02-01,13,98519
1000306,2604,2019-02-01,18,264
1000307,2305,2019-02-01,14,681528
1000308,2603,2019-02-01,14,40858
1000309,2408,2019-02-01,12,15
1000310,2406,2019-02-01,12,76
1000311,2403,2019-02-01,11,125
1000312,2303,2019-02-01,21,12069
1000313,2304,2019-02-01,14,750265
1000314,2304,2019-02-01,17,20892
1000315,2309,2019-02-01,22,4390
1000316,2310,2019-02-01,22,871
1000317,2606,2019-02-01,15,1690
1000318,2403,2019-02-01,13,15272
1000319,2408,2019-02-01,13,7443
1000320,2303,2019-02-01,20,2186
1000321,2304,2019-02-01,11,61710
1000322,2506,2019-02-01,20,19908
1000323,2310,2019-02-01,20,666
1000324,2307,2019-02-01,13,6376
1000325,2602,2019-02-01,12,38
1000326,2506,2019-02-01,16,199
1000327,2601,2019-02-01,21,1622
1000328,2301,2019-02-01,13,235337
1000329,2403,2019-02-01,12,77
1000330,2307,2019-02-01,20,694
1000331,2310,2019-02-01,13,18005
1000332,2303,2019-02-01,12,169
1000333,2504,2019-02-01,11,4920
1000334,2309,2019-02-01,15,105602
1000335,2601,2019-02-01,13,65680
1000336,2505,2019-02-01,20,1937
1000337,2305,2019-02-01,15,342015
1000338,2402,2019-02-01,11,10565
1000339,2403,2019-02-01,22,707
1000340,2304,2019-02-01,21,137255
1000341,2402,2019-02-01,12,1332
1000342,2307,2019-02-01,14,70541
1000343,2310,2019-02-01,12,68
1000344,2304,2019-02-01,15,393922
1000345,2507,2019-02-01,11,5480
1000346,2402,2019-02-01,17,2674
1000347,2608,2019-02-01,14,414150
1000348,2601,2019-02-01,22,2140
1000349,2604,2019-02-01,17,2844
1000350,2506,2019-02-01,22,71166
1000351,2301,2019-02-01,22,21590
1000352,2402,2019-02-01,16,6505
1000353,2302,2019-02-01,20,1388
1000354,2406,2019-02-01,21,346
1000355,2301,2019-02-01,17,704
1000356,2301,2019-02-01,21,11444
1000357,2502,2019-02-01,13,106417
1000358,2402,2019-02-01,18,509
1000359,2603,2019-02-01,13,5624
1000360,2601,2019-02-01,14,222245
1000361,2608,2019-02-01,12,17
1000362,2302,2019-02-01,15,122044
1000363,2303,2019-02-01,15,219356
1000364,2402,2019-02-01,14,1616681
1000365,2307,2019-02-01,22,3071
1000366,2504,2019-02-01,13,749417
1000367,2604,2019-02-01,12,717
1000368,2507,2019-02-01,13,24213
1000369,2505,2019-02-01,13,57888
1000370,2301,2019-02-01,19,80
1000371,2304,2019-02-01,16,14493
1000372,2506,2019-02-01,13,255318
1000373,2406,2019-02-01,20,72
1000374,2402,2019-02-01,21,49336
1000375,2604,2019-02-01,20,5111
1000376,2601,2019-02-01,12,44
1000377,2608,2019-02-01,15,236710
1000378,2606,2019-02-01,13,11
1000379,2303,2019-02-01,14,444673
1000380,2404,2019-02-01,15,32295
1000381,2604,2019-02-01,13,219502
1000382,2305,2019-02-01,11,18303
1000383,2406,2019-02-01,22,418
1000384,2602,2019-02-01,22,25
1000385,2303,2019-02-01,19,258
1000386,2602,2019-02-01,15,23972
1000387,2601,2019-02-01,11,1961
1000388,2602,2019-01-01,11,211
1000389,2603,2019-01-01,14,44981
1000390,2404,2019-01-01,15,32752
1000391,2406,2019-01-01,22,863
1000392,2403,2019-01-01,12,114
1000393,2504,2019-01-01,11,5874
1000394,2406,2019-01-01,13,23144
1000395,2602,2019-01-01,13,3409
1000396,2402,2019-01-01,15,1020507
1000397,2506,2019-01-01,19,39
1000398,2301,2019-01-01,20,10214
1000399,2410,2019-01-01,13,144
1000400,2602,2019-01-01,22,24
1000401,2309,2019-01-01,15,112563
1000402,2507,2019-01-01,18,20
1000403,2602,2019-01-01,21,24
1000404,2302,2019-01-01,21,5243
1000405,2305,2019-01-01,20,16059
1000406,2608,2019-01-01,14,465110
1000407,2307,2019-01-01,20,713
1000408,2402,2019-01-01,22,71216
1000409,2303,2019-01-01,15,239318
1000410,2601,2019-01-01,11,1961
1000411,2304,2019-01-01,17,16715
1000412,2302,2019-01-01,20,1388
1000413,2507,2019-01-01,17,30
1000414,2305,2019-01-01,14,793981
1000415,2307,2019-01-01,22,3174
1000416,2309,2019-01-01,13,102352
1000417,2301,2019-01-01,22,22372
1000418,2310,2019-01-01,14,130070
1000419,2406,2019-01-01,21,793
1000420,2406,2019-01-01,15,27940
1000421,2402,2019-01-01,18,580
1000422,2408,2019-01-01,21,8358
1000423,2506,2019-01-01,21,57768
1000424,2604,2019-01-01,20,5377
1000425,2604,2019-01-01,11,19005
1000426,2303,2019-01-01,22,15227
1000427,2604,2019-01-01,16,4095
1000428,2602,2019-01-01,12,39
1000429,2301,2019-01-01,14,844406
1000430,2406,2019-01-01,20,71
1000431,2603,2019-01-01,22,241
1000432,2604,2019-01-01,17,2751
1000433,2304,2019-01-01,22,195640
1000434,2506,2019-01-01,18,34
1000435,2402,2019-01-01,21,52875
1000436,2301,2019-01-01,11,4424
1000437,2603,2019-01-01,15,26258
1000438,2604,2019-01-01,12,797
1000439,2502,2019-01-01,15,48673
1000440,2505,2019-01-01,14,169601
1000441,2507,2019-01-01,11,8320
1000442,2601,2019-01-01,12,34
1000443,2502,2019-01-01,14,95295
1000444,2310,2019-01-01,22,841
1000445,2303,2019-01-01,21,12834
1000446,2505,2019-01-01,15,90090
1000447,2604,2019-01-01,14,601786
1000448,2603,2019-01-01,13,5624
1000449,2506,2019-01-01,14,942982
1000450,2402,2019-01-01,16,5705
1000451,2303,2019-01-01,16,14828
1000452,2503,2019-01-01,15,406571
1000453,2601,2019-01-01,21,1786
1000454,2506,2019-01-01,12,1351
1000455,2310,2019-01-01,15,65171
1000456,2504,2019-01-01,15,1164766
1000457,2606,2019-01-01,13,45
1000458,2301,2019-01-01,21,12189
1000459,2309,2019-01-01,21,2592
1000460,2301,2019-01-01,16,7980
1000461,2406,2019-01-01,11,1440
1000462,2601,2019-01-01,13,70359
1000463,2408,2019-01-01,22,9733
1000464,2608,2019-01-01,21,2305
1000465,2309,2019-01-01,20,2405
1000466,2504,2019-01-01,12,3110
1000467,2303,2019-01-01,14,501254
1000468,2604,2019-01-01,13,257453
1000469,2304,2019-01-01,19,377
1000470,2602,2019-01-01,15,26113
1000471,2608,2019-01-01,12,9
1000472,2601,2019-01-01,22,2346
1000473,2404,2019-01-01,14,62957
1000474,2503,2019-01-01,13,319138
1000475,2604,2019-01-01,22,34316
1000476,2303,2019-01-01,19,280
1000477,2603,2019-01-01,21,121
1000478,2504,2019-01-01,14,1985438
1000479,2506,2019-01-01,11,1777
1000480,2403,2019-01-01,20,150
1000481,2307,2019-01-01,13,2807
1000482,2307,2019-01-01,21,2741
1000483,2506,2019-01-01,15,557207
1000484,2408,2019-01-01,11,164
1000485,2304,2019-01-01,15,462863
1000486,2604,2019-01-01,15,290905
1000487,2310,2019-01-01,12,44
1000488,2305,2019-01-01,11,24668
1000489,2304,2019-01-01,11,96478
1000490,2301,2019-01-01,19,85
1000491,2310,2019-01-01,13,17760
1000492,2506,2019-01-01,20,22799
1000493,2404,2019-01-01,13,3286
1000494,2304,2019-01-01,21,141214
1000495,2507,2019-01-01,15,269965
1000496,2582,2019-01-01,13,160269
1000497,2305,2019-01-01,22,58510
1000498,2305,2019-01-01,12,1811
1000499,2310,2019-01-01,11,893
1000500,2402,2019-01-01,17,2688
1000501,2403,2019-01-01,13,19541
1000502,2408,2019-01-01,14,109460
1000503,2504,2019-01-01,13,837806
1000504,2301,2019-01-01,13,233073
1000505,2402,2019-01-01,20,18432
1000506,2408,2019-01-01,13,10132
1000507,2403,2019-01-01,15,62393
1000508,2402,2019-01-01,14,1825166
1000509,2507,2019-01-01,13,22533
1000510,2309,2019-01-01,22,4608
1000511,2303,2019-01-01,17,9682
1000512,2505,2019-01-01,21,2873
1000513,2602,2019-01-01,14,61580
1000514,2309,2019-01-01,14,246217
1000515,2507,2019-01-01,16,673
1000516,2606,2019-01-01,14,4460
1000517,2503,2019-01-01,14,752364
1000518,2302,2019-01-01,22,6626
1000519,2301,2019-01-01,15,398495
1000520,2303,2019-01-01,12,231
1000521,2408,2019-01-01,20,1439
1000522,2402,2019-01-01,11,22545
1000523,2403,2019-01-01,14,135702
1000524,2604,2019-01-01,21,29780
1000525,2604,2019-01-01,19,70
1000526,2305,2019-01-01,15,388002
1000527,2601,2019-01-01,20,560
1000528,2507,2019-01-01,19,20
1000529,2505,2019-01-01,22,4866
1000530,2408,2019-01-01,15,46230
1000531,2403,2019-01-01,21,673
1000532,2302,2019-01-01,14,259872
1000533,2608,2019-01-01,22,2999
1000534,2402,2019-01-01,19,123
1000535,2303,2019-01-01,13,56810
1000536,2608,2019-01-01,15,262181
1000537,2303,2019-01-01,20,2408
1000538,2304,2019-01-01,16,16920
1000539,2307,2019-01-01,14,71543
