Web ID,rlat,rlng
41022,31.685417,-111.6613
41023,32.2947,-112.56382
41025,32.29104,-112.838707
41027,32.012064,-111.29569
41028,31.7475,-111.63482
41029,32.02188,-112.14597
41095,32.123971,-110.871356
42671,32.4995,-113.0767
42911,31.81276,-111.40755
42912,31.9148,-112.54042
42913,32.152887,-111.237689
42914,32.781117,-112.548317
42915,31.8769,-111.78898
42916,32.29187,-113.1067
42917,31.95346,-113.05898
42918,31.519167,-111.435833
42919,32.63308,-112.1606
42920,31.704,-111.85818
42921,32.20324,-112.95431
42922,31.826717,-112.1373
42923,32.38652,-113.10317
42924,32.2651,-113.10296
42925,32.15192,-113.069
42926,32.206583,-112.665017
42927,32.0037,-111.705333
42928,32.423462,-113.138344
42929,32.329483,-112.115617
42930,31.888497,-111.385941
42931,31.95437,-112.14965
42932,31.80408,-112.10063
42933,32.713283,-112.832183
42934,32.657333,-112.754
43045,31.749483,-111.615983
43216,32.088883,-111.394867
43221,31.846587,-112.134454
43222,31.963317,-112.38265
43225,32.278367,-111.718933
43237,32.35183,-112.959916
43239,31.82115,-110.18449
43240,32.26801,-112.49766
43241,31.8051,-112.12413
43249,31.765067,-111.625183
43251,32.34286,-113.303
43252,32.43673,-114.42545
43255,31.918734,-112.100464
43256,32.21936,-111.24967
43257,31.816117,-112.072267
43258,32.5567,-111.95146
43261,31.7378,-112.093
43266,32.3475,-113.3066
43267,32.3477,-113.3066
43268,32.3475,-113.3064
43269,32.3475,-113.3068
43276,32.20416,-112.989
43282,31.33388,-110.90277
43283,31.7917,-112.006667
43297,31.8997,-111.769884
43298,31.773083,-111.918183
43299,31.98296,-110.5362
43302,31.64488,-111.91678
43303,32.10363,-111.52543
43304,31.953017,-112.87445
43305,32.26201,-112.69105
43316,32.03956,-113.03051
43317,32.29616,-113.14816
43318,31.903683,-112.146183
43319,32.607767,-113.046967
43326,31.890533,-112.163068
43327,32.23925,-111.4293
43328,32.153928,-110.982707
43329,31.962331,-111.362668
43330,31.78046,-111.95446
43335,31.69473,-111.98491
43338,32.3405,-113.10417
43348,32.121896,-111.570383
43349,31.85435,-110.43783
43357,31.9639,-112.36573
43359,31.83173,-111.970117
43360,31.7947,-111.82171
43361,31.7945,-111.91465
43362,32.283693,-109.82634
43363,31.77755,-111.8808
43364,32.496983,-112.305567
43365,32.10145,-112.69731
43380,32.1278,-112.40978
43381,31.97766,-112.9993
43383,31.82416,-111.03825
43384,31.702133,-111.99385
43385,31.970833,-110.886417
43386,32.300783,-111.381833
43387,31.811967,-111.841117
43388,31.686567,-111.999917
43389,31.44765,-111.30885
43390,31.710317,-111.988583
43411,32.328607,-111.368233
43412,31.848783,-111.926567
43413,32.00778,-112.16171
43414,31.827017,-111.400483
43415,31.551221,-110.920977
43416,31.836283,-111.938633
43424,31.974983,-112.81815
43425,31.699183,-111.429183
43427,32.164517,-111.884317
43428,32.17448,-111.24988
43429,31.665533,-111.821917
43432,32.734444,-111.492361
43433,32.530115,-112.137385
43434,31.665232,-111.774526
43435,31.898717,-111.145517
43436,32.00365,-112.66553
43437,31.98618,-112.1196
43440,32.176389,-109.086389
43448,31.846033,-112.658867
43449,31.71405,-111.88878
43450,31.73753,-111.92515
43451,31.75668,-112.06646
43457,32.534017,-111.868567
43458,32.534017,-111.868567
43459,31.844233,-112.129717
43463,32.069017,-112.97895
43473,32.385,-113.106033
43474,32.269733,-113.3062
43475,32.269733,-113.3062
43485,32.12895,-112.976266
43486,31.8802,-111.374733
43487,31.865817,-111.316683
43488,31.86601,-111.29951
43489,32.205833,-111.686283
43502,31.62525,-111.8471
43523,32.091833,-112.9795
43525,32.140133,-112.988433
43526,32.1396,-112.9909
43527,31.748933,-110.17615
43532,31.723883,-112.106567
43541,32.5788,-112.07773
43549,31.724167,-111.9245
43550,32.26808,-111.91801
43557,31.8707,-112.7542
43582,31.896033,-111.670983
43583,31.831217,-111.918133
43584,32.287367,-111.691233
43587,31.91564,-111.7579
43590,32.03843,-113.02141
43591,31.5011,-111.44025
43603,31.986783,-112.99865
43604,31.980933,-112.139183
43611,32.14,-112.851833
43612,31.92948,-111.88075
43630,31.871233,-110.419
43631,32.37812,-113.11867
43644,32.657333,-112.754
43646,32.38476,-113.10636
43649,32.01581,-111.26681
43650,32.175119,-110.928097
43658,32.19935,-111.4761
43660,32.36358,-112.32331
43661,32.363583,-112.323517
43666,32.376133,-113.105733
43844,32.06815,-111.997033
43954,32.15686,-112.92628
43957,31.949,-113.016333
43958,32.216033,-111.558767
43961,32.19406,-112.9916
44059,32.1505,-112.90348
44063,32.05535,-112.429783
44629,32.39765,-113.1346
44631,31.9843,-112.134917
44638,32.31491,-113.25851
44639,32.31471,-113.25778
44700,31.344117,-110.977602
44701,32.20056,-113.0134
44840,31.92082,-112.94112
44846,32.12791,-112.97136
44848,31.620933,-111.51375
44850,31.831667,-112.361361
44854,32.31893,-113.08683
44857,32.07687,-112.9487
44860,32.0395,-112.888
45775,31.34262,-110.99307
45779,32.068833,-112.933617
45780,32.420833,-113.134567
45784,32.166867,-113.008267
45786,32.3895,-111.71621
45787,31.76476,-112.0187
45825,32.38738,-113.14806
45826,32.39185,-113.14552
45983,31.798639,-112.108889
45988,31.911233,-112.682916
45994,31.841567,-111.846017
45995,31.59575,-111.73235
46005,32.096161,-111.401711
46010,31.955,-112.88013
46012,31.79556,-112.12925
46018,32.45311,-111.77861
46019,31.980617,-112.1315
48093,31.91468,-112.92918
48095,31.928333,-111.4485
48096,31.928333,-111.4485
48097,31.94448,-113.01205
48098,32.45227,-113.11801
48102,32.41575,-113.128783
48106,31.9488,-113.0117
48107,31.9188,-112.92636
48108,32.4532,-113.18275
48111,31.81854,-111.81162
48113,31.81854,-111.81162
48116,32.20587,-112.97794
48118,31.98108,-113.0092
48120,31.34503,-109.65946
48123,32.39908,-113.1325
51552,32.21389,-112.9932
51555,32.788117,-113.110767
51556,32.46409,-113.13683
51557,32.45611,-113.13738
51558,32.45311,-113.14
51559,32.42882,-113.15696
51560,32.4231,-113.15253
51563,32.4459,-113.1315
51564,32.4686,-113.1298
51565,32.4433,-113.1226
51566,32.7725,-112.457
51568,32.09755,-112.911483
51570,31.797767,-110.2663
51571,32.2902,-111.3771
51573,31.84255,-112.438933
51574,32.249683,-111.935167
51575,31.784017,-112.123567
51577,31.9746,-112.6818
51578,32.34555,-113.1166
51579,32.38694,-113.11805
51580,32.38385,-113.11981
