port_year_concat,port_code,port_name,port_state,port_lat,port_lng,year_reported,fatalities,missing,casualties,survivors,female_casualties,male_casualties,child_casualties,pedestrian_x,passenger_x_bus,passenger_x_train,passenger_x_personal_vehicle,passenger_x_any,pedestrian_and_passenger_x,personal_vehicles,buses,trains,trucks,rail_containers_full,rail_containers_empty,truck_containers_full,truck_containers_empty
2307|2018,2307,Rio Grande City,Texas,26.379440000000002,-98.82,2018,49,0,49,5,3,29,,61271,,,876203,876203,937474,425687,,,38094,,,31437,9679
2309|2014,2309,Progreso,Texas,26.061670000000003,-97.94889,2014,,,,,,,,760655,0,0,2683861,2683861,3444516,1174447,0,0,41416,0,0,30581,10489
2309|2015,2309,Progreso,Texas,26.061670000000003,-97.94889,2015,2,0,2,,,2,,693993,0,0,2428918,2428918,3122911,1070550,0,0,36940,0,0,25828,10742
2309|2016,2309,Progreso,Texas,26.061670000000003,-97.94889,2016,5,0,5,,1,2,,844327,0,0,2747205,2747205,3591532,1244130,0,0,48983,0,0,29635,19747
2309|2017,2309,Progreso,Texas,26.061670000000003,-97.94889,2017,7,0,7,14,,5,,899201,,,2712778,2712778,3611979,1218065,,,52516,,,23445,41111
2309|2018,2309,Progreso,Texas,26.061670000000003,-97.94889,2018,19,0,19,14,,5,,1034129,,,2820980,2820980,3855109,1275057,,,50795,,,27043,28564
2310|2014,2310,Roma,Texas,26.403609999999997,-99.01833,2014,,,,,,,,247768,9647,0,1367898,1377545,1625313,703473,429,0,7556,0,0,4289,3192
2310|2015,2310,Roma,Texas,26.403609999999997,-99.01833,2015,,,,,,,,239490,9165,0,1431288,1440453,1679943,747005,491,0,7870,0,0,4662,3125
2310|2016,2310,Roma,Texas,26.403609999999997,-99.01833,2016,2,0,2,,1,1,,245307,7996,0,1510619,1518615,1763922,800270,385,0,7494,0,0,5011,2474
2310|2017,2310,Roma,Texas,26.403609999999997,-99.01833,2017,6,0,6,,,2,,245594,8509,,1541662,1550171,1795765,805973,414,,7608,,,1499,7479
2310|2018,2310,Roma,Texas,26.403609999999997,-99.01833,2018,3,0,3,,,2,,229267,7909,,1519765,1527674,1756941,772760,401,,8111,,,891,7229
2402|2014,2402,El Paso,Texas,31.758610000000004,-106.48638999999999,2014,2,0,2,0,1,1,1,6572313,313684,6741,19134740,19455165,26027478,11595319,21554,1434,759125,43351,55944,390814,305797
2402|2015,2402,El Paso,Texas,31.758610000000004,-106.48638999999999,2015,,,,,,,,6847689,266168,5785,19982407,20254360,27102049,12258192,19739,1528,747702,51380,57740,428239,335700
2402|2016,2402,El Paso,Texas,31.758610000000004,-106.48638999999999,2016,3,0,3,,,1,,7032715,199819,10759,20767737,20978315,28011030,12525548,15050,1652,763868,49788,57491,424616,322751
2402|2017,2402,El Paso,Texas,31.758610000000004,-106.48638999999999,2017,7,0,7,,3,3,2,6883755,193419,7765,22046772,22247956,29131711,12615101,15898,1498,779410,49032,60083,493746,360360
2402|2018,2402,El Paso,Texas,31.758610000000004,-106.48638999999999,2018,3,0,3,1,1,2,1,7218420,195808,6895,22225563,22428266,29646686,12383403,15977,1379,810935,42258,66007,568442,243655
